MovingPlate	FixedPlate	EndChron	EndAge	RotLat	RotLong	RotAng	Kappahat	a	b	c	d	e	f	Points	Segs	Plates	DOF	Source
301	101	3An.2no	6.57	65.73	134.86	-1.46	1	5.17E-07	-1.15E-07	7.70E-07	3.34E-07	-6.75E-07	2.08E-06	307	28	2	251	Merkouriev and DeMets 2008
301	101	4n.1ny	7.43	63.21	137.88	-1.59	1	2.95E-07	-5.10E-08	4.33E-07	2.71E-07	-4.92E-07	1.39E-06	374	33	2	308	Merkouriev and DeMets 2008
301	101	4n.2no	8.07	64.43	137.29	-1.78	1	4.85E-07	-4.60E-08	5.93E-07	3.82E-07	-7.04E-07	1.93E-06	353	23	2	307	Merkouriev and DeMets 2008
301	101	4Ano	9.03	64.86	135.65	-2.05	1	7.58E-07	-1.46E-07	1.00E-06	8.29E-07	-1.61E-06	3.94E-06	276	22	2	232	Merkouriev and DeMets 2008
301	101	5n.1ny	9.74	66.1	137.62	-2.27	1	2.65E-06	4.27E-07	2.01E-06	1.12E-06	-1.27E-06	4.22E-06	340	26	2	288	Merkouriev and DeMets 2008
301	101	5n.2no	10.95	67.75	133.17	-2.62	1	8.14E-07	-1.25E-07	1.00E-06	5.35E-07	-1.07E-06	2.98E-06	344	27	2	290	Merkouriev and DeMets 2008
301	101	5An.2o	12.4	67.19	133.86	-2.99	1	9.29E-06	1.90E-07	8.35E-06	1.70E-06	-2.61E-06	1.24E-05	228	20	2	188	Merkouriev and DeMets 2008
301	101	5ACny	13.7	67.39	132.58	-3.35	1	3.26E-05	-7.56E-06	4.37E-05	2.54E-06	-1.14E-05	6.08E-05	144	16	2	112	Merkouriev and DeMets 2008
301	101	5ADno	14.61	69.5	127.69	-3.69	1	1.19E-04	-2.54E-05	1.51E-04	8.39E-06	-3.71E-05	2.00E-04	148	15	2	118	Merkouriev and DeMets 2008
301	101	5Cn.1ny	16.01	67.97	133.21	-4.02	1	1.37E-05	-1.21E-06	1.47E-05	1.98E-06	-4.31E-06	2.10E-05	200	17	2	166	Merkouriev and DeMets 2008
301	101	5Dny	17.23	68.85	129.75	-4.39	1	1.00E-05	-1.30E-06	1.27E-05	7.59E-07	-2.40E-06	1.72E-05	153	15	2	123	Merkouriev and DeMets 2008
301	101	5Eny	18.28	70.16	129.1	-4.71	1	1.24E-05	-3.27E-06	1.78E-05	1.16E-06	-5.18E-06	2.66E-05	194	16	2	162	Merkouriev and DeMets 2008
301	101	6ny	19.05	72.12	126.7	-5.05	1	3.41E-05	-1.85E-06	4.17E-05	4.76E-06	-7.17E-06	5.67E-05	188	17	2	154	Merkouriev and DeMets 2008
301	101	6no	20.13	68.62	131.76	-5.03	1	6.16E-06	-7.42E-07	7.17E-06	5.08E-07	-1.56E-06	9.64E-06	230	19	2	192	Merkouriev and DeMets 2008
301	101	C13ny	33.06	68.22	131.53	-7.65	1.56	8.39E-08	1.84E-08	7.40E-08	5.81E-08	-7.53E-08	3.24E-07	346	31	2	281	Gaina et al 2002
301	101	C18n.1no	39.55	67.72	133.91	-9.25	2.52	1.38E-07	1.75E-07	5.51E-08	4.41E-07	-1.01E-07	3.69E-07	106	9	2	85	Gaina et al 2002
301	101	C21no	47.91	65.38	138.44	-10.96	0.74	9.52E-08	2.43E-08	1.03E-07	9.25E-08	-2.76E-08	2.63E-07	460	27	2	400	Gaina et al 2002
301	101	C22no	49.71	64.52	138.18	-11.5	1.06	1.37E-07	1.26E-07	9.91E-08	3.24E-07	-3.50E-08	3.03E-07	353	21	2	305	Gaina et al 2002
301	101	C24n.3no	53.35	63.07	144.26	-12.82	0.84	1.48E-07	9.96E-08	1.97E-07	3.42E-07	9.63E-08	4.16E-07	329	19	2	285	Gaina et al 2002
301	101	C25ny	55.9	56.17	145.06	-13.24	0.89	5.29E-06	-2.42E-06	6.57E-06	1.29E-06	-3.02E-06	8.25E-06	112	6	2	97	Gaina et al 2002
301	101	C31no	68.74	54.45	147.06	-15.86	1.04	6.65E-06	-2.69E-06	7.95E-06	1.34E-06	-3.21E-06	9.59E-06	120	7	2	103	Gaina et al 2002
301	101	C33o	79.08	63.4	147.75	-18.48	1	4.39E-06	-1.66E-06	5.14E-06	8.57E-07	-1.93E-06	6.09E-06	158	9	2	137	Gaina et al 2002
301	101	C34ny	83	66.54	148.91	-19.7	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller and Roest 1992 JGR
301	101	None	120	61.76	-132.95	-10.98	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Earthbyte Rotation File
