Cocos-Pacific	C1no	0.78	-31.75	57.45	0.866	1	1.79E-008	2.72E-008	1.19E-008	1.07E-007	3.09E-008	3.36E-008	115	NA	NA	60	Calculated
Cocos-Pacific	Interpolated	6.57	-22.98	71.39	11.439	0.32	2.18E-007	5.00E-007	2.54E-007	2.67E-006	1.22E-006	6.01E-007	148	NA	NA	89	Calculated
Cocos-Pacific	Interpolated	8.86	-23.32	72.56	16.184	0.45	2.14E-007	4.04E-007	2.27E-007	3.67E-006	1.64E-006	7.98E-007	143	NA	NA	84	Calculated
Cocos-Pacific	Interpolated	10.95	-25.45	72.29	20.371	0.56	2.08E-007	1.71E-007	1.38E-007	3.77E-006	1.52E-006	6.82E-007	142	NA	NA	83	Calculated
Cocos-Pacific	Interpolated	13.07	-26.02	70.63	24.453	0.5	1.76E-007	1.09E-008	7.56E-008	2.30E-006	8.19E-007	3.72E-007	144	NA	NA	85	Calculated
Cocos-Pacific	Interpolated	15.1	-25.65	65.78	26.982	0.58	2.54E-007	4.94E-008	1.26E-007	5.28E-006	1.74E-006	7.06E-007	130	NA	NA	71	Calculated
Cocos-Pacific	Interpolated	17.45	-28.87	63.57	29.964	0.21	5.14E-007	-2.25E-007	2.31E-007	6.59E-006	2.39E-006	1.17E-006	128	NA	NA	69	Calculated
Cocos-Pacific	Interpolated	24.73	-31.01	58.46	36.942	0.38	3.82E-007	-1.12E-006	-1.97E-007	4.38E-006	7.68E-007	2.13E-007	139	NA	NA	78	Calculated
Cocos-Pacific	Interpolated	28.28	-34.34	55.5	38.506	0.4	1.90E-007	-3.90E-007	1.63E-008	2.35E-006	3.27E-007	1.46E-007	147	NA	NA	88	Calculated
Nazca-Pacific	1no	0.78	52.7	-88.6	-0.47	1	1.62E-008	2.46E-008	1.09E-008	9.61E-008	2.81E-008	3.05E-008	15	1	2	10	De Mets et al. 2010*.45
Nazca-Pacific	3An.2no	6.57	-54.38	85.34	4.36	0.17	2.73E-007	5.95E-007	3.06E-007	2.28E-006	1.12E-006	5.85E-007	48	3	2	39	Wilder *.45
Nazca-Pacific	4Any	8.86	-58.23	86.36	5.8	0.25	3.05E-007	6.56E-007	3.48E-007	3.02E-006	1.50E-006	7.90E-007	43	3	2	34	Wilder *.44
Nazca-Pacific	5n.2no	10.95	-60.01	86.73	7.59	0.34	3.01E-007	5.50E-007	2.92E-007	3.15E-006	1.48E-006	7.44E-007	42	3	2	33	Wilder * .45
Nazca-Pacific	5AAnm	13.07	-62	87.21	9.03	0.29	2.39E-007	2.97E-007	1.71E-007	1.93E-006	8.73E-007	4.43E-007	44	3	2	35	Wilder * .46
Nazca-Pacific	5B.2nm	15.10	-64.52	83.61	10.63	0.29	3.90E-007	6.69E-007	3.66E-007	4.34E-006	2.00E-006	1.01E-006	30	3	2	21	Wilder * .46
Nazca-Pacific	5Dnm	17.45	-72.22	89.27	11.92	0.07	7.51E-007	7.73E-007	5.96E-007	5.09E-006	2.73E-006	1.60E-006	28	3	2	19	Wilder * .45
Nazca-Pacific	7n.1ny	24.73	-61.15	88.86	15.55	0.18	1.27E-007	-4.05E-007	-2.11E-007	3.01E-006	1.52E-006	8.46E-007	39	4	2	28	Wilder * .4
Nazca-Pacific	10n.1ny	28.28	-66.11	82.81	17.96	0.59	2.79E-007	-4.92E-007	-1.75E-007	4.00E-006	1.82E-006	9.57E-007	67	7	2	50	Combined Wilder, Cande & Haxby Ð scale by .41
Nazca-Pacific	13y	33.06	-71.077	78.299	20.767	0.42	1.234E-06	-8.374E-07	-5.386E-07	1.100E-05	4.026E-06	2.741E-06	161	NA	NA	123.	Calculated
Nazca-Pacific	17n.1ny	36.62	-75.232	76.362	22.674	1.00	5.535E-06	-1.694E-07	-1.457E-06	2.421E-05	4.804E-06	6.609E-06	253	NA	NA	10000.	Calculated
Nazca-Pacific	18.2no	40.13	-78.215	76.803	24.008	1.00	6.720E-06	7.221E-07	-1.740E-06	2.890E-05	3.653E-06	7.721E-06	251	NA	NA	10000.	Calculated
Nazca-Pacific	20o	43.79	-80.411	73.238	25.885	1.00	9.781E-06	3.398E-06	-2.856E-06	3.528E-05	1.260E-06	9.875E-06	346	NA	NA	10000.	Calculated
Nazca-Pacific	24o	53.35	-86.247	67.564	30.006	1.00	1.006E-05	3.092E-06	-2.650E-06	3.795E-05	4.293E-07	1.058E-05	479	NA	NA	10000.	Calculated
Nazca-Pacific	29o	64.75	-89.247	17.128	33.613	1.00	9.608E-06	2.144E-06	-2.310E-06	3.870E-05	4.640E-08	1.085E-05	655	NA	NA	10000.	Calculated
Nazca-Pacific	33y	73.62	-88.206	-84.935	36.500	1.00	9.714E-06	1.674E-06	-2.279E-06	3.969E-05	-4.545E-07	1.124E-05	794	NA	NA	10000.	Calculated
Nazca-Pacific	34y	83.00	-85.403	-116.972	39.740	1.00	2.018E-05	8.814E-06	-7.417E-06	5.082E-05	-6.159E-06	1.632E-05	883	NA	NA	10000.	Calculated
Pacific-W Antarcticaa	1no	0.78	64.3	-81.21	0.68	2.62	1.18E-009	6.47E-010	1.59E-009	4.26E-009	7.92E-009	4.43E-009	111	12	2	84	Croon et al 2008
Pacific-W Antarcticaa	2nm	1.86	64.9	-81.14	1.61	1.21	9.05E-009	2.51E-010	8.38E-009	6.54E-009	9.72E-009	3.00E-009	80	8	2	61	Croon et al 2008
Pacific-W Antarcticaa	2An.1ny	2.58	65.2	-81.23	2.23	2.05	2.78E-008	-6.69E-010	2.00E-009	2.37E-009	3.41E-009	8.94E-009	73	7	2	56	Croon et al 2008
Pacific-W Antarcticaa	2An.3no	3.58	65.9	-81.17	3.11	1.38	1.04E-008	6.61E-010	1.23E-008	8.30E-009	1.31E-008	4.28E-008	80	8	2	61	Croon et al 2008
Pacific-W Antarcticaa	3n.1nm	4.24	66.62	-80.53	3.7	2.43	1.00E-008	6.62E-010	1.01E-008	7.62E-009	1.14E-008	3.44E-008	72	6	2	57	Croon et al 2008
Pacific-W Antarcticaa	3n.4nm	5.11	66.91	-80.66	4.48	2.62	1.36E-008	1.47E-009	1.96E-008	7.24E-009	1.33E-008	5.86E-008	81	8	2	62	Croon et al 2008
Pacific-W Antarcticaa	3An.1ny	5.89	67.09	-81.08	5.21	2.91	3.53E-008	2.55E-008	4.27E-008	3.23E-008	4.07E-008	8.12E-008	73	7	2	56	Croon et al 2008
Pacific-W Antarcticaa	3An.2no	6.57	67.33	-81.2	5.81	1.48	1.32E-008	2.40E-009	2.17E-008	8.21E-009	1.54E-008	6.55E-008	74	7	2	57	Croon et al 2008
Pacific-W Antarcticaa	4n.2nm	7.86	68.16	-80.54	6.83	1.41	2.38E-008	9.54E-009	4.41E-008	1.50E-008	2.67E-008	1.18E-007	80	8	2	61	Croon et al 2008
Pacific-W Antarcticaa	4Anm	8.86	68.83	-79.97	7.64	1.34	1.12E-008	3.39E-009	1.69E-008	9.68E-009	1.56E-008	5.03E-008	84	8	2	65	Croon et al 2008
Pacific-W Antarcticaa	5n.1ny	9.74	69.71	-78.57	8.42	1.01	1.59E-008	5.97E-009	3.17E-008	1.22E-008	2.32E-008	8.91E-008	82	8	2	63	Croon et al 2008
Pacific-W Antarcticaa	5n.2no	10.95	70.36	-77.81	9.48	1.75	2.52E-008	6.62E-009	3.49E-008	2.72E-008	3.92E-008	1.06E-007	85	7	2	68	Croon et al 2008
Pacific-W Antarcticaa	5An.2nm	12.29	71.29	-76.12	10.63	1.25	9.64E-009	4.97E-009	1.45E-008	1.12E-008	1.60E-008	3.84E-008	91	8	2	72	Croon et al 2008
Pacific-W Antarcticaa	5AAnm	13.07	71.75	-75.12	11.28	1.37	1.55E-008	8.50E-009	2.19E-008	1.34E-008	1.92E-008	5.25E-008	88	8	2	69	Croon et al 2008
Pacific-W Antarcticaa	5ADnm	14.4	72.38	-73.58	12.42	2.13	1.43E-008	7.02E-009	1.60E-008	1.11E-008	1.55E-008	3.61E-008	90	8	2	71	Croon et al 2008
Pacific-W Antarcticaa	5Bn.2nm	15.1	72.6	-73.19	13.01	2.78	4.48E-008	1.92E-008	4.50E-008	2.97E-008	4.15E-008	9.77E-008	91	9	2	70	Croon et al 2008
Pacific-W Antarcticaa	5Cn.1nm	16.15	72.97	-72.5	13.95	2.27	6.11E-008	3.17E-008	7.43E-008	4.10E-008	5.52E-008	1.63E-007	88	8	2	69	Croon et al 2008
Pacific-W Antarcticaa	5Cn.3nm	16.64	73.18	-72.03	14.34	1.47	1.66E-008	8.02E-009	2.28E-008	1.21E-008	1.75E-008	5.33E-008	86	8	2	67	Croon et al 2008
Pacific-W Antarcticaa	5Dnm	17.45	73.39	-71.58	14.93	1.47	1.47E-008	6.78E-009	1.72E-008	1.04E-008	1.47E-008	3.97E-008	87	8	2	68	Croon et al 2008
Pacific-W Antarcticaa	5Eny	18.28	73.62	-70.91	15.42	1.88	3.33E-008	1.92E-008	3.18E-008	1.90E-008	2.40E-008	4.94E-008	79	7	2	62	Croon et al 2008
